Этап,№ сим карты,№ Комплекса,Обозначение,IP адрес,IP адрес БИС,Свидетельство о поверки,Дата выдачи,Срок действия,Скорость на комплексе,TV,IRZ,Описание дислокации,Адрес установки,Направление камеры,Направление фиксации,Район,Координаты
1,79378583271,194352M001,uragan-009,10.32.8.10,192.168.144.1,С-АБ/26-11-2021/114717630,26.11.2021,25.11.2023,60,1470017947,1002369,"РБ, Туймазинский р-н, г.Туймазы, ул.Мичурина, д.23","Республика Башкортостан, Туймазинский район, г. Туймазы ул. Мичурина д. 23",от ул. Чапаева к пр. Ленина,Попутное,Туймазинский район,54.595928 53.701600
1,79659277693,194352M002,uragan-008,10.32.8.9,192.168.144.2,С-АБ/26-11-2021/114717632,26.11.2021,25.11.2023,40,1568601273,1002333,"РБ, Туймазинский р-н, г.Туймазы, ул.Мичурина, д.13","Республика Башкортостан, Туймазинский район, г. Туймазы ул. Мичурина д.13",от пр. Ленина к ул. Чапаева,Попутное,Туймазинский район,54.599453 53.695972
1,79659277655,194352M003,uragan-010,10.32.8.11,192.168.144.3,С-АБ/26-11-2021/114717624,26.11.2021,25.11.2023,60,1382472949,1001368,"РБ, г. Туймазы ул. Чапаева СТ ""Вишенка""","Республика Башкортостан, Туймазинский район, г. Туймазы, ул. Чапаева СТ ""Вишенка""",от ул. Южная,"ближнее - встречное, дальнее - попутное",Туймазинский район,54.585426 53.698046
1,79659277674,194352M008,uragan-007,10.32.8.8,192.168.144.8,С-АБ/26-11-2021/114717636,26.11.2021,25.11.2023,60,1355428331,1002375,"РБ, Туймазинский р-н, г.Туймазы, ул.Островского, д.22","Республика Башкортостан, Туймазинский район, г. Туймазы, ул. Островского д. 22",от ул. 70 лет Октября к ул. Комарова,"ближнее - встречное, дальнее - попутное",Туймазинский район,54.607301 53.694120
1,79659277656,194352M004,uragan-003,10.32.8.4,192.168.144.4,С-АБ/26-11-2021/114717641,26.11.2021,25.11.2023,60,1344631970,1002379,"РБ, Туймазинский р-н, г.Туймазы, ул.70-лет Октября, д.11","Республика Башкортостан, Туймазинский район, г. Туймазы ул. 70-летия Октября д. 11",от ул. Островского к пр. Ленина,"ближнее - попутное, дальнее - встречное",Туймазинский район,54.609332 53.704118
1,79659277659,194352M005,uragan-005,10.32.8.6,192.168.144.5,С-АБ/26-11-2021/114717643,26.11.2021,25.11.2023,60,1379162802,1002085,"РБ, Туймазинский р-н, г.Туймазы, ул.Ленина, д.65","Республика Башкортостан, Туймазинский район, г. Туймазы, ул. Ленина д. 65",от ул. Матросова к ул. Рабочая,"ближнее - попутное, дальнее - встречное",Туймазинский район,54.619001 53.703632
1,79659277946,194352M006,uragan-002,10.32.8.3,192.168.144.6,С-АБ/26-11-2021/114717628,26.11.2021,25.11.2023,60,1344635281,1002076,"РБ, Туймазинский р-н, г.Туймазы, ул.Чапаева, д.20","Республика Башкортостан, Туймазинский район, г. Туймазы, ул. Чапаева д. 20",от ул. Южная к ул. Мичурина,"ближнее - встречное, дальнее - попутное",Туймазинский район,54.593699 53.703503
1,79659277907,194352M007,uragan-004,10.32.8.5,192.168.144.7,С-АБ/26-11-2021/114717635,26.11.2021,25.11.2023,60,1358351122,1002088,"РБ, Туймазинский р-н, г.Туймазы, ул.Чапаева, д.37","Республика Башкортостан, Туймазинский район, г. Туймазы, ул. Чапаева д. 37",от ул. Комарова к пер. 1-й Мостовой,"ближнее - попутное, дальнее - встречное",Туймазинский район,54.600012 53.707695
1,79173608767,194352M009,uragan-006,10.32.8.7,192.168.144.9,С-АБ/26-11-2021/114717639,26.11.2021,25.11.2023,60,663173585,1002397,"РБ, Туймазинский р-н, г.Туймазы, ул.Свердлова,д.69","Республика Башкортостан, Туймазинский район, г. Туймазы, ул. Свердлова д. 69",от ул. Островского к ул. Салавата Юлаева,"ближнее - попутное, дальнее - встречное",Туймазинский район,54.608376 53.690534
1,79659279295,194352M010,uragan-001,10.32.8.2,192.168.144.10,С-АБ/26-11-2021/114717626,26.11.2021,25.11.2023,60,1358539088,1002350,"РБ, Туймазинский р-н, г. Туймазы, ул. Фабричная, д.2","Республика Башкортостан, Туймазинский район, г. Туймазы, ул. Фабричная д. 2",от ул. Горького к ул. Гафурова,"ближнее - встречное, дальнее - попутное",Туймазинский район,54.592647 53.724250
1,79659275109,194352M011,uragan-071,10.32.8.72,192.168.144.11,С-АБ/21-02-2022/134319421,21.02.2022,20.02.2024,90,1376892599,1003329,"РБ, Буздякский р-н, а-д М-5 ""Урал"", 1370км","РБ, Буздякский р-н, а-д М-5 ""Урал"", 1370км",,встречное,Давлекановский район,54.644435 54.548799
1,79659278469,194352M012,uragan-061,10.32.8.62,192.168.144.12,С-АБ/26-11-2021/114717619,26.11.2021,25.11.2023,60,1594765131,1003543,"РБ, Дюртюлинский р-н, г.Дюртюли, ул.70-лет Октября, д.7","Республика Башкортостан, Дюртюлинский район, г. Дюртюли, ул. 70 лет Октября, д. 7",от ул. Ленина к ул. Наджими,"ближнее - встречное, дальнее - попутное",Дюртюлинский район,55.483954 54.860495
1,79279255387,194352M013,uragan-035,10.32.8.36,192.168.144.13,С-АБ/14-12-2021/117837357,14.12.2021,13.12.2023,40,1646407319,1003292,"РБ, Давлекановский р-н, г.Давлеканово, ул.Победы, д.169","Республика Башкортостан, Давлекановский район, г. Давлеканово, ул. Победы, д. 169",от ул. Красноармейская к ул. Зенцова,Попутное,Давлекановский район,"54.207191, 55.017639"
1,79659278468,194352M014,uragan-047,10.32.8.48,192.168.144.14,С-АБ/26-11-2021/114717622,26.11.2021,25.11.2023,60,1349277711,1003505,"РБ, Дюртюлинский р-н, г.Дюртюли, ул. Г.Шаймуратова, 12","Республика Башкортостан, Дюртюлинский район, г. Дюртюли,ул. Генерала Шаймуратова, д. 12",от ул. Ленина к ул. Зайлалова,"ближнее - попутное, дальнее - встречное",Дюртюлинский район,55.485963 54.851147
