Организация,Контракт,Тип,Номер,Причина,0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,Всего
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M212,,,,,,,,,,,,,,,,,,,,,,,,,,
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M384,,,,,,,,,,,,,,,,,,,,,,,,,,
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M537,,,,,,,,,,,,,,,,,,,,,,,,,,
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M576,,,,,,,,,,,,,,,,,,,,,,,,,,
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M001,194352M001, 63 , 29 , 22 , 16 , 15 , 14 , 22 , 98 , 186 , 232 , 275 , 362 ,,,,,,,,,,,,,1 334 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M002,194352M002, 83 , 60 , 34 , 22 , 17 , 9 , 34 , 117 , 195 , 264 , 344 , 481 ,,,,,,,,,,,,,1 660 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M003,194352M003, 68 , 58 , 29 , 22 , 23 , 26 , 84 , 294 , 345 , 401 , 495 , 561 ,,,,,,,,,,,,,2 406 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M004,194352M004, 67 , 48 , 29 , 21 , 28 , 45 , 28 , 101 , 150 , 228 , 292 , 320 ,,,,,,,,,,,,,1 357 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M005,194352M005, 37 , 30 , 15 , 10 , 25 , 15 , 20 , 88 , 107 , 121 , 137 , 206 ,,,,,,,,,,,,, 811 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M006,194352M006, 120 , 95 , 43 , 37 , 30 , 40 , 35 , 259 , 332 , 380 , 460 , 584 ,,,,,,,,,,,,,2 415 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M007,194352M007, 64 , 59 , 29 , 19 , 14 , 37 , 40 , 137 , 165 , 232 , 279 , 335 ,,,,,,,,,,,,,1 410 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M008,194352M008, 62 , 37 , 29 , 29 , 17 , 28 , 28 , 96 , 140 , 216 , 322 , 383 ,,,,,,,,,,,,,1 387 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M009,194352M009, 51 , 40 , 31 , 16 , 29 , 19 , 42 , 171 , 367 , 366 , 492 , 589 ,,,,,,,,,,,,,2 213 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M010,194352M010, 117 , 69 , 40 , 44 , 33 , 56 , 76 , 315 , 405 , 466 , 556 , 745 ,,,,,,,,,,,,,2 922 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M011,194352M011, 112 , 115 , 129 , 74 , 66 , 69 , 140 , 219 , 263 , 276 , 341 , 342 ,,,,,,,,,,,,,2 146 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M012,194352M012, 93 , 64 , 45 , 23 , 29 , 38 , 70 , 179 , 269 , 398 , 404 , 474 ,,,,,,,,,,,,,2 086 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M013,194352M013, 21 , 9 , 5 , 6 , 11 , 11 , 15 , 46 , 106 , 158 , 132 , 151 ,,,,,,,,,,,,, 671 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M014,194352M014, 88 , 75 , 39 , 25 , 17 , 12 , 35 , 69 , 154 , 254 , 331 , 412 ,,,,,,,,,,,,,1 511 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M015,194352M015, 88 , 61 , 44 , 40 , 28 , 36 , 111 , 220 , 287 , 340 , 346 , 386 ,,,,,,,,,,,,,1 987 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M016,194352M016, 252 , 220 , 154 , 124 , 112 , 97 , 124 , 250 , 469 , 643 , 756 , 893 ,,,,,,,,,,,,,4 094 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M017,194352M017, 46 , 32 , 19 , 13 , 20 , 10 , 10 , 59 , 88 , 136 , 212 , 258 ,,,,,,,,,,,,, 903 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M018,194352M018, 137 , 111 , 104 , 101 , 112 , 141 , 154 , 252 , 511 , 571 , 653 , 659 ,,,,,,,,,,,,,3 506 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M019,194352M019, 142 , 158 , 57 , 40 , 44 , 104 , 81 , 251 , 343 , 408 , 543 , 212 ,,,,,,,,,,,,,2 383 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M020,194352M020, 97 , 76 , 59 , 72 , 76 , 106 , 134 , 265 , 305 , 423 , 479 , 539 ,,,,,,,,,,,,,2 631 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M021,194352M021, 24 , 18 , 7 , 15 , 7 , 13 , 33 , 77 , 109 , 170 , 202 , 230 ,,,,,,,,,,,,, 905 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M022,194352M022, 70 , 64 , 72 , 76 , 75 , 76 , 26 , 147 , 241 , 298 , 317 , 303 ,,,,,,,,,,,,,1 765 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M023,194352M023, 100 , 68 , 51 , 38 , 12 , 19 , 70 , 206 , 213 , 323 , 381 , 456 ,,,,,,,,,,,,,1 937 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M024,194352M024, 7 , 5 , 1 , 3 ,, 2 , 5 , 13 , 27 , 35 , 37 ,,,,,,,,,,,,,, 135 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M025,194352M025, 31 , 14 ,, 5 , 8 , 11 , 11 , 61 , 90 , 178 , 217 , 258 ,,,,,,,,,,,,, 884 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M026,194352M026, 88 , 76 , 54 , 31 , 83 , 95 , 144 , 276 , 232 , 357 , 403 , 465 ,,,,,,,,,,,,,2 304 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M027,194352M027, 90 , 78 , 61 , 34 , 49 , 71 ,,,,,,,,,,,,,,,,,,, 383 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M028,194352M028, 135 , 83 , 56 , 41 , 54 , 47 , 103 , 216 , 308 , 455 , 564 , 666 ,,,,,,,,,,,,,2 728 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M029,194352M029, 34 , 32 , 19 , 21 , 12 , 14 , 43 , 114 , 224 , 281 , 326 , 327 ,,,,,,,,,,,,,1 447 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M031,194352M031, 15 , 14 , 11 , 4 , 4 , 11 , 23 , 68 , 118 , 230 , 221 , 258 ,,,,,,,,,,,,, 977 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M032,194352M032, 259 , 177 , 110 , 87 , 64 , 81 , 139 , 299 , 384 , 605 , 700 , 798 ,,,,,,,,,,,,,3 703 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M033,194352M033, 167 , 102 , 109 , 85 , 82 , 60 , 191 , 377 , 445 , 531 , 631 , 765 ,,,,,,,,,,,,,3 545 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M035,194352M035, 105 , 73 , 67 , 46 , 41 , 64 , 100 , 212 , 269 , 314 , 389 , 428 ,,,,,,,,,,,,,2 108 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M036,194352M036, 450 , 380 , 281 , 217 , 144 , 155 , 204 , 449 , 670 ,1 071 ,1 128 ,1 404 ,,,,,,,,,,,,,6 553 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M037,194352M037, 198 , 171 , 121 , 89 , 70 , 90 , 154 , 265 , 445 , 591 , 772 , 847 ,,,,,,,,,,,,,3 813 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M038,194352M038, 36 , 46 , 26 , 13 , 11 , 10 , 20 , 58 , 106 , 200 , 246 , 309 ,,,,,,,,,,,,,1 081 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M039,194352M039, 123 , 91 , 67 , 55 , 53 , 110 , 220 , 383 , 431 , 555 , 628 , 702 ,,,,,,,,,,,,,3 418 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M040,194352M040, 117 , 123 , 54 , 35 , 35 , 75 , 56 , 155 , 211 , 254 , 365 , 133 ,,,,,,,,,,,,,1 613 
ПАО Башинформсвязь, ГК №1001 (621 АвтоУраган),АвтоУраган,194352M041,194352M041, 94 , 56 , 44 , 36 , 16 , 12 , 35 , 88 , 179 , 245 , 334 , 395 ,,,,,,,,,,,,,1 534 
